---,Name,MaleRaceTemplate,FemaleRaceTemplate,EquipmentTemplates,ProfessionTemplate,StatTemplate,StatModifierTemplate,ComboPresets,NPCClass,BehaviorTree,AIController,NPCBehaviorParameters,LootTable,DistanceThresholdRangedWeapon,DistanceThresholdMeleeWeapon,BlockActionMinDuration,BlockOnAttackedMinDuration,BlockMaxDuration,BlockChance,BlockChanceWhenAttacked
Black_Hand_Alchemist_1_Shemite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Shemite_Name"", ""Shemite Alchemist I"")","(RaceTemplate=""Race_ShemiteMale"",Weight=75.000000)","(RaceTemplate=""Race_ShemiteFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Stygian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Stygian_Name"", ""Stygian Alchemist I"")","(RaceTemplate=""Race_StygianMale"",Weight=75.000000)","(RaceTemplate=""Race_StygianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Zamorian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Zamorian_Name"", ""Zamorian Alchemist I"")","(RaceTemplate=""Race_ZamorianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZamorianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Zingarian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Zingarian_Name"", ""Zingaran Alchemist I"")","(RaceTemplate=""Race_ZingarianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZingarianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Cimmerian_Name"", ""Cimmerian Alchemist II"")","(RaceTemplate=""Race_CimmerianMale"",Weight=75.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Darfari,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Darfari_Name"", ""Darfari Medicine Man II"")","(RaceTemplate=""Race_DarfariMale"",Weight=75.000000)","(RaceTemplate=""Race_DarfariFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Hyborian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Hyborian_Name"", ""Hyborian Alchemist II"")","(RaceTemplate=""Race_HyborianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyborianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Hyrkanian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Hyrkanian_Name"", ""Hyrkanian Alchemist II"")","(RaceTemplate=""Race_HyrkanianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyrkanianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Kushite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Kushite_Name"", ""Kushite Alchemist II"")","(RaceTemplate=""Race_KushiteMale"",Weight=75.000000)","(RaceTemplate=""Race_KushiteFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Nordheimer,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Nordheimer_Name"", ""Nordheimer Alchemist II"")","(RaceTemplate=""Race_NordheimerMale"",Weight=75.000000)","(RaceTemplate=""Race_NordheimerFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Shemite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Shemite_Name"", ""Shemite Alchemist II"")","(RaceTemplate=""Race_ShemiteMale"",Weight=75.000000)","(RaceTemplate=""Race_ShemiteFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Stygian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Stygian_Name"", ""Stygian Alchemist II"")","(RaceTemplate=""Race_StygianMale"",Weight=75.000000)","(RaceTemplate=""Race_StygianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Zamorian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Zamorian_Name"", ""Zamorian Alchemist II"")","(RaceTemplate=""Race_ZamorianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZamorianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_2_Zingarian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_2_Zingarian_Name"", ""Zingaran Alchemist II"")","(RaceTemplate=""Race_ZingarianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZingarianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_2","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_3_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_3_Cimmerian_Name"", ""Cimmerian Alchemist III"")","(RaceTemplate=""Race_CimmerianMale"",Weight=75.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_High"",""Generic_Weapon_Alchemist"")","Alchemist_3","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_3_Darfari,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_3_Darfari_Name"", ""Darfari Medicine Man III"")","(RaceTemplate=""Race_DarfariMale"",Weight=75.000000)","(RaceTemplate=""Race_DarfariFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_High"",""Generic_Weapon_Alchemist"")","Alchemist_3","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_3_Hyborian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_3_Hyborian_Name"", ""Hyborian Alchemist III"")","(RaceTemplate=""Race_HyborianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyborianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_High"",""Generic_Weapon_Alchemist"")","Alchemist_3","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_3_Hyrkanian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_3_Hyrkanian_Name"", ""Hyrkanian Alchemist III"")","(RaceTemplate=""Race_HyrkanianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyrkanianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_High"",""Generic_Weapon_Alchemist"")","Alchemist_3","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
