---,FeatName,Description,Icon,IconOverlay,GiveOnSpawn,LevelRequirement,FeatCost,Categories,PrerequisiteFeat,RewardRecipe,ShowInFeatWindow,CornerStoneLevel,DLCPackage
12,"NSLOCTEXT("""", ""FeatTable_12_FeatName"", ""Defender"")","NSLOCTEXT("""", ""FeatTable_12_Description"", ""XX_Desc: Defender"")","/Game/UI/Textures/Icons/icon_wood_shield.icon_wood_shield","None","False","5","2","(Combat)","","(51600,51601,51500)","True","20","None"
11104,"NSLOCTEXT("""", ""FeatTable_11104_FeatName"", ""Fine Metal Crafts"")","NSLOCTEXT("""", ""FeatTable_11104_Description"", ""XX_Desc: Fine Metal Crafts"")","/Game/UI/Textures/Icons/icon_coin_mould.icon_coin_mould","None","False","19","1","(Armor)","(51000,10)","(11075,11065,11066)","True","70","None"
11114,"NSLOCTEXT("""", ""FeatTable_11114_FeatName"", ""Hiltmaker"")","NSLOCTEXT("""", ""FeatTable_11114_Description"", ""XX_Desc: Hiltmaker"")","/Game/UI/Textures/Icons/icon_handle_short.icon_handle_short","None","False","60","13","(Combat)","(4,10,51015)","(11114)","True","11","None"
11115,"NSLOCTEXT("""", ""FeatTable_11115_FeatName"", ""Haftmaker"")","NSLOCTEXT("""", ""FeatTable_11115_Description"", ""XX_Desc: Haftmaker"")","/Game/UI/Textures/Icons/icon_handle_long.icon_handle_long","None","False","60","13","(Combat)","(3,10,51015)","(11115)","True","31","None"
11116,"NSLOCTEXT("""", ""FeatTable_11116_FeatName"", ""Shield Framer"")","NSLOCTEXT("""", ""FeatTable_11116_Description"", ""XX_Desc: Shield Framer"")","/Game/UI/Textures/Icons/icon_frame_shield.icon_frame_shield","None","False","60","13","(Combat)","(12,51015)","(11116)","True","25","None"
11117,"NSLOCTEXT("""", ""FeatTable_11117_FeatName"", ""Ropemaker"")","NSLOCTEXT("""", ""FeatTable_11117_Description"", ""XX_Desc: Ropemaker"")","/Game/UI/Textures/Icons/icon_sturdy_string.icon_sturdy_string","None","False","60","13","(Combat)","(6,11,51015)","(11117)","True","55","None"
11118,"NSLOCTEXT("""", ""FeatTable_11118_FeatName"", ""Shaftmaker"")","NSLOCTEXT("""", ""FeatTable_11118_Description"", ""XX_Desc: Shaftmaker"")","/Game/UI/Textures/Icons/icon_dagger_handle.icon_dagger_handle","None","False","60","13","(Combat)","(51951,10,51015)","(11118,11119,11120)","True","45","None"
18207,"NSLOCTEXT("""", ""FeatTable_18207_FeatName"", ""Specialist Cooking VIII"")","NSLOCTEXT("""", ""FeatTable_18207_Description"", ""XX_Desc: Specialist Cooking VIII"")","/Game/UI/Textures/Icons/icon_feral_meat_feast.icon_feral_meat_feast","None","False","0","0","(Survival)","(18509)","(18213,18210,18214,18209)","False","0","None"
18208,"NSLOCTEXT("""", ""FeatTable_18208_FeatName"", ""Specialist Cooking I"")","NSLOCTEXT("""", ""FeatTable_18208_Description"", ""XX_Desc: Specialist Cooking I"")","/Game/UI/Textures/Icons/icon_darfari_bug_soup.icon_darfari_bug_soup","None","False","0","0","(Survival)","(18509)","(18234,18235,18215,18216)","False","0","None"
18209,"NSLOCTEXT("""", ""FeatTable_18209_FeatName"", ""Specialist Cooking II"")","NSLOCTEXT("""", ""FeatTable_18209_Description"", ""XX_Desc: Specialist Cooking II"")","/Game/UI/Textures/Icons/icon_aloe_soup.icon_aloe_soup","None","False","0","0","(Survival)","(18509)","(18236,18219,18220,18221,18262)","False","0","None"
18210,"NSLOCTEXT("""", ""FeatTable_18210_FeatName"", ""Specialist Cooking III"")","NSLOCTEXT("""", ""FeatTable_18210_Description"", ""XX_Desc: Specialist Cooking III"")","/Game/UI/Textures/Icons/icon_mixed_meat_mushup.icon_mixed_meat_mushup","None","False","0","0","(Survival)","(18509)","(18223,18225,18226,18227,18228,18237)","False","0","None"
18211,"NSLOCTEXT("""", ""FeatTable_18211_FeatName"", ""Specialist Cooking IV"")","NSLOCTEXT("""", ""FeatTable_18211_Description"", ""XX_Desc: Specialist Cooking IV"")","/Game/UI/Textures/Icons/icon_salted_exotic_meat.icon_salted_exotic_meat","None","False","0","0","(Survival)","(18509)","(18229,18230,18249,18232)","False","0","None"
18212,"NSLOCTEXT("""", ""FeatTable_18212_FeatName"", ""Specialist Cooking V"")","NSLOCTEXT("""", ""FeatTable_18212_Description"", ""XX_Desc: Specialist Cooking V"")","/Game/UI/Textures/Icons/icon_exotic_meat_stew.icon_exotic_meat_stew","None","False","0","0","(Survival)","(18509)","(18244,18245,18246,18247,18248)","False","0","None"
18213,"NSLOCTEXT("""", ""FeatTable_18213_FeatName"", ""Specialist Cooking VI"")","NSLOCTEXT("""", ""FeatTable_18213_Description"", ""XX_Desc: Specialist Cooking VI"")","/Game/UI/Textures/Icons/icon_hearty_meal.icon_hearty_meal","None","False","0","0","(Survival)","(18509)","(18251,18252,18253,18254,18255)","False","0","None"
18214,"NSLOCTEXT("""", ""FeatTable_18214_FeatName"", ""Specialist Cooking VII"")","NSLOCTEXT("""", ""FeatTable_18214_Description"", ""XX_Desc: Specialist Cooking VII"")","/Game/UI/Textures/Icons/icon_desert_chili.icon_desert_chili","None","False","0","0","(Survival)","(18509)","(18250,18238,18256,18259)","False","0","None"
18215,"NSLOCTEXT("""", ""FeatTable_18215_FeatName"", ""Specialist Cooking IX"")","NSLOCTEXT("""", ""FeatTable_18215_Description"", ""XX_Desc: Specialist Cooking IX"")","/Game/UI/Textures/Icons/icon_mushroom_stew.icon_mushroom_stew","None","False","0","0","(Survival)","(18509)","(18239,18240,18241,18242,18243)","False","0","None"
18216,"NSLOCTEXT("""", ""FeatTable_18216_FeatName"", ""Specialist Cooking X"")","NSLOCTEXT("""", ""FeatTable_18216_Description"", ""XX_Desc: Specialist Cooking X"")","/Game/UI/Textures/Icons/icon_delicious_meat_strips.icon_delicious_meat_strips","None","False","0","0","(Survival)","(18509)","(18278,18280,18281,18282,18275)","False","0","None"
18311,"NSLOCTEXT("""", ""FeatTable_18311_FeatName"", ""Apprentice Trapper"")","NSLOCTEXT("""", ""FeatTable_18311_Description"", ""XX_Desc: Apprentice Trapper"")","/Game/UI/Textures/Icons/icon_lure_meat_regular.icon_lure_meat_regular","None","False","9","1","(Survival)","","(18311,18312,18314,18308,18319)","False","70","None"
18312,"NSLOCTEXT("""", ""FeatTable_18312_FeatName"", ""Journeyman Trapper"")","NSLOCTEXT("""", ""FeatTable_18312_Description"", ""XX_Desc: Journeyman Trapper"")","/Game/UI/Textures/Icons/icon_lure_meat_regular.icon_lure_meat_regular","None","False","32","4","(Survival)","(18311)","(18316,18317,18318,18313)","False","0","None"
18314,"NSLOCTEXT("""", ""FeatTable_18314_FeatName"", ""Master Trapper"")","NSLOCTEXT("""", ""FeatTable_18314_Description"", ""XX_Desc: Master Trapper"")","/Game/UI/Textures/Icons/icon_lure_meat_smelly.icon_lure_meat_smelly","None","False","59","6","(Survival)","(18312)","(18306,18310,18315,18309)","False","0","None"
18404,"NSLOCTEXT("""", ""FeatTable_18404_FeatName"", ""Bandages"")","NSLOCTEXT("""", ""FeatTable_18404_Description"", ""XX_Desc: Bandages"")","/Game/UI/Textures/Icons/icon_healing_wraps.icon_healing_wraps","None","False","25","6","(Survival)","(1)","(18404)","True","0","None"
18405,"NSLOCTEXT("""", ""FeatTable_18405_FeatName"", ""Improved Bandages"")","NSLOCTEXT("""", ""FeatTable_18405_Description"", ""XX_Desc: Improved Bandages"")","/Game/UI/Textures/Icons/icon_numbing_wraps.icon_numbing_wraps","None","False","45","5","(Survival)","(18404)","(18405)","True","0","None"
18500,"NSLOCTEXT("""", ""FeatTable_18500_FeatName"", ""Apiarist"")","NSLOCTEXT("""", ""FeatTable_18500_Description"", ""XX_Desc: Apiarist"")","/Game/UI/Textures/Icons/icon_beehive.icon_beehive","None","False","33","7","(Survival)","(89001)","(18500)","True","0","None"
18501,"NSLOCTEXT("""", ""FeatTable_18501_FeatName"", ""Master Apiarist"")","NSLOCTEXT("""", ""FeatTable_18501_Description"", ""XX_Desc: Master Apiarist"")","/Game/UI/Textures/Icons/icon_beehive_improved.icon_beehive_improved","None","False","53","11","(Survival)","(18500)","(18501)","True","0","None"
18502,"NSLOCTEXT("""", ""FeatTable_18502_FeatName"", ""Fisher"")","NSLOCTEXT("""", ""FeatTable_18502_Description"", ""XX_Desc: Fisher"")","/Game/UI/Textures/Icons/icon_fishing_trap.icon_fishing_trap","None","False","17","2","(Survival)","(89001)","(18502,18503,82059,82060,82061)","True","0","None"
18506,"NSLOCTEXT("""", ""FeatTable_18506_FeatName"", ""Dried Preserves"")","NSLOCTEXT("""", ""FeatTable_18506_Description"", ""XX_Desc: Dried Preserves"")","/Game/UI/Textures/Icons/icon_dryer.icon_dryer","None","False","19","2","(Survival)","(89001)","(18506)","True","0","None"
18507,"NSLOCTEXT("""", ""FeatTable_18507_FeatName"", ""Preservation box"")","NSLOCTEXT("""", ""FeatTable_18507_Description"", ""XX_Desc: Preservation box"")","/Game/UI/Textures/Icons/icon_ice_box.icon_ice_box","None","False","43","9","(Survival)","(18506)","(18507)","True","0","None"
18508,"NSLOCTEXT("""", ""FeatTable_18508_FeatName"", ""Improved Preservation box"")","NSLOCTEXT("""", ""FeatTable_18508_Description"", ""XX_Desc: Improved Preservation box"")","/Game/UI/Textures/Icons/icon_blackice_box.icon_blackice_box","None","False","55","12","(Survival)","(18507)","(18508)","True","0","None"
18509,"NSLOCTEXT("""", ""FeatTable_18509_FeatName"", ""Stove"")","NSLOCTEXT("""", ""FeatTable_18509_Description"", ""XX_Desc: Stove"")","/Game/UI/Textures/Icons/icon_cook_stove_2.icon_cook_stove_2","None","False","29","6","(Survival)","(89010)","(18509,18207,18208,18233,18224,18211,18217,18257,18231,18199)","True","0","None"
18510,"NSLOCTEXT("""", ""FeatTable_18510_FeatName"", ""Grinder"")","NSLOCTEXT("""", ""FeatTable_18510_Description"", ""XX_Desc: Grinder"")","/Game/UI/Textures/Icons/icon_grinder.icon_grinder","None","False","17","4","(Survival)","(51000)","(18510)","True","0","None"
18515,"NSLOCTEXT("""", ""FeatTable_18515_FeatName"", ""Master Chef"")","NSLOCTEXT("""", ""FeatTable_18515_Description"", ""XX_Desc: Master Chef"")","/Game/UI/Textures/Icons/icon_improved_stove.icon_improved_stove","None","False","55","12","(Survival)","(18509)","(18515)","True","0","None"
18520,"NSLOCTEXT("""", ""FeatTable_18520_FeatName"", ""Peasant"")","NSLOCTEXT("""", ""FeatTable_18520_Description"", ""XX_Desc: Peasant"")","/Game/UI/Textures/Icons/icon_planter_t1.icon_planter_t1","None","False","18","1","(Survival)","","(18520,18519)","True","20","None"
18521,"NSLOCTEXT("""", ""FeatTable_18521_FeatName"", ""Farmer"")","NSLOCTEXT("""", ""FeatTable_18521_Description"", ""XX_Desc: Farmer"")","/Game/UI/Textures/Icons/icon_planter_t2.icon_planter_t2","None","False","38","2","(Survival)","(18520)","(18521)","True","0","None"
18522,"NSLOCTEXT("""", ""FeatTable_18522_FeatName"", ""Agriculturist"")","NSLOCTEXT("""", ""FeatTable_18522_Description"", ""XX_Desc: Agriculturist"")","/Game/UI/Textures/Icons/icon_planter_t3.icon_planter_t3","None","False","58","3","(Survival)","(18521)","(18522)","True","0","None"
18996,"NSLOCTEXT("""", ""FeatTable_18996_FeatName"", ""Fluid Press"")","NSLOCTEXT("""", ""FeatTable_18996_Description"", ""XX_Desc: Fluid Press"")","/Game/UI/Textures/Icons/icon_liquid_separator_press.icon_liquid_separator_press","None","False","28","2","(Survival)","(89001)","(18505,18033,18032)","True","0","None"
18997,"NSLOCTEXT("""", ""FeatTable_18997_FeatName"", ""Brewing"")","NSLOCTEXT("""", ""FeatTable_18997_Description"", ""XX_Desc: Brewing"")","/Game/UI/Textures/Icons/icon_ale.icon_ale","None","False","37","4","(Survival)","(18996)","(18072,18073,18080,18074,18076,18094,18504,80673,80670,80671)","True","0","None"
18998,"NSLOCTEXT("""", ""FeatTable_18998_FeatName"", ""Specialist Brewing I"")","NSLOCTEXT("""", ""FeatTable_18998_Description"", ""XX_Desc: Specialist Brewing I"")","/Game/UI/Textures/Icons/icon_Phykos_Rum.icon_Phykos_Rum","None","False","0","0","(Survival)","(89001)","(18070,18079,18071)","False","0","None"
18999,"NSLOCTEXT("""", ""FeatTable_18999_FeatName"", ""Specialist Brewing II"")","NSLOCTEXT("""", ""FeatTable_18999_Description"", ""XX_Desc: Specialist Brewing II"")","/Game/UI/Textures/Icons/icon_resin_wine.icon_resin_wine","None","False","0","0","(Survival)","(89001)","(18077,18075,18081)","False","0","None"
41020,"NSLOCTEXT("""", ""FeatTable_41020_FeatName"", ""Apprentice Tinker"")","NSLOCTEXT("""", ""FeatTable_41020_Description"", ""XX_Desc: Apprentice Tinker"")","/Game/UI/Textures/Icons/icon_repair_kit_plant_fiber.icon_repair_kit_plant_fiber","None","False","12","2","(Survival)","(51000,10,8)","(41020,41024)","True","60","None"
41021,"NSLOCTEXT("""", ""FeatTable_41021_FeatName"", ""Journeyman Tinker"")","NSLOCTEXT("""", ""FeatTable_41021_Description"", ""XX_Desc: Journeyman Tinker"")","/Game/UI/Textures/Icons/icon_repair_kit_hide.icon_repair_kit_hide","None","False","24","3","(Survival)","(41020)","(41021,41025)","True","0","None"
41022,"NSLOCTEXT("""", ""FeatTable_41022_FeatName"", ""Tinker"")","NSLOCTEXT("""", ""FeatTable_41022_Description"", ""XX_Desc: Tinker"")","/Game/UI/Textures/Icons/icon_repair_kit_leather.icon_repair_kit_leather","None","False","36","2","(Survival)","(41021)","(41022,41026)","True","0","None"
41023,"NSLOCTEXT("""", ""FeatTable_41023_FeatName"", ""Master Tinker"")","NSLOCTEXT("""", ""FeatTable_41023_Description"", ""XX_Desc: Master Tinker"")","/Game/UI/Textures/Icons/icon_repair_kit_thick_leather.icon_repair_kit_thick_leather","None","False","48","5","(Survival)","(41022)","(41023,41027)","True","0","None"
41033,"NSLOCTEXT("""", ""FeatTable_41033_FeatName"", ""Torch"")","NSLOCTEXT("""", ""FeatTable_41033_Description"", ""XX_Desc: Torch"")","/Game/UI/Textures/Icons/icon_torch.icon_torch","None","False","5","1","(Survival)","(1)","(41033)","True","0","None"
41051,"NSLOCTEXT("""", ""FeatTable_41051_FeatName"", ""Master Weaponsmith"")","NSLOCTEXT("""", ""FeatTable_41051_Description"", ""XX_Desc: Master Weaponsmith"")","/Game/UI/Textures/Icons/Icon_modkit_wpn_increaseDamage_t3.Icon_modkit_wpn_increaseDamage_t3","None","False","51","6","(Combat)","(41055,51014)","(41054,41058,41061,41066,41051,41067)","True","0","None"
41055,"NSLOCTEXT("""", ""FeatTable_41055_FeatName"", ""Weaponsmith"")","NSLOCTEXT("""", ""FeatTable_41055_Description"", ""XX_Desc: Weaponsmith"")","/Game/UI/Textures/Icons/Icon_modkit_wpn_increaseDamage_t2.Icon_modkit_wpn_increaseDamage_t2","None","False","39","4","(Combat)","(41063,52000)","(41053,41057,41060,41065)","True","0","None"
41063,"NSLOCTEXT("""", ""FeatTable_41063_FeatName"", ""Apprentice Weaponsmith"")","NSLOCTEXT("""", ""FeatTable_41063_Description"", ""XX_Desc: Apprentice Weaponsmith"")","/Game/UI/Textures/Icons/Icon_modkit_wpn_increaseDamage_t1.Icon_modkit_wpn_increaseDamage_t1","None","False","26","3","(Combat)","(10,51000)","(41052,41056,41059,41064,41063)","True","70","None"
41064,"NSLOCTEXT("""", ""FeatTable_41064_FeatName"", ""Apprentice Armorsmith"")","NSLOCTEXT("""", ""FeatTable_41064_Description"", ""XX_Desc: Apprentice Armorsmith"")","/Game/UI/Textures/Icons/Icon_modkit_arm_increaseArmor_t1.Icon_modkit_arm_increaseArmor_t1","None","False","26","3","(Armor)","(8)","(41069,41068,41075)","True","40","None"
41065,"NSLOCTEXT("""", ""FeatTable_41065_FeatName"", ""Armorsmith"")","NSLOCTEXT("""", ""FeatTable_41065_Description"", ""XX_Desc: Armorsmith"")","/Game/UI/Textures/Icons/Icon_modkit_arm_increaseArmor_t2.Icon_modkit_arm_increaseArmor_t2","None","False","39","4","(Armor)","(41064)","(41070,41076)","True","0","None"
41066,"NSLOCTEXT("""", ""FeatTable_41066_FeatName"", ""Master Armorsmith"")","NSLOCTEXT("""", ""FeatTable_41066_Description"", ""XX_Desc: Master Armorsmith"")","/Game/UI/Textures/Icons/Icon_modkit_arm_increaseArmor_t3.Icon_modkit_arm_increaseArmor_t3","None","False","51","6","(Armor)","(41065)","(41071,41077)","True","0","None"
50000,"NSLOCTEXT("""", ""FeatTable_50000_FeatName"", ""Stone Tools"")","NSLOCTEXT("""", ""FeatTable_50000_Description"", ""XX_Desc: Stone Tools"")","/Game/UI/Textures/Icons/icon_pickaxe-1.icon_pickaxe-1","None","True","2","0","(Survival)","","(51001,51011)","True","5","None"
50001,"NSLOCTEXT("""", ""FeatTable_50001_FeatName"", ""Apprentice Butcher"")","NSLOCTEXT("""", ""FeatTable_50001_Description"", ""XX_Desc: Apprentice Butcher"")","/Game/UI/Textures/Icons/icon_skinning_dagger_stone.icon_skinning_dagger_stone","None","False","3","1","(Survival)","(50000)","(51308,41034)","False","0","None"
50002,"NSLOCTEXT("""", ""FeatTable_50002_FeatName"", ""Journeyman Butcher"")","NSLOCTEXT("""", ""FeatTable_50002_Description"", ""XX_Desc: Journeyman Butcher"")","/Game/UI/Textures/Icons/icon_skinning_dagger_iron.icon_skinning_dagger_iron","None","False","15","2","(Survival)","(51000)","(51309,41036)","True","0","None"
50004,"NSLOCTEXT("""", ""FeatTable_50004_FeatName"", ""Butcher"")","NSLOCTEXT("""", ""FeatTable_50004_Description"", ""XX_Desc: Butcher"")","/Game/UI/Textures/Icons/icon_skinning_dagger_steel.icon_skinning_dagger_steel","None","False","31","4","(Survival)","(52000)","(51310,41028)","True","0","None"
50005,"NSLOCTEXT("""", ""FeatTable_50005_FeatName"", ""Master Butcher"")","NSLOCTEXT("""", ""FeatTable_50005_Description"", ""XX_Desc: Master Butcher"")","/Game/UI/Textures/Icons/icon_skinning_dagger_hardened_steel.icon_skinning_dagger_hardened_steel","None","False","51","6","(Survival)","(51014)","(51311,41029)","True","0","None"
50006,"NSLOCTEXT("""", ""FeatTable_50006_FeatName"", ""Legendary Butcher"")","NSLOCTEXT("""", ""FeatTable_50006_Description"", ""XX_Desc: Legendary Butcher"")","/Game/UI/Textures/Icons/icon_skinning_dagger_starmetal.icon_skinning_dagger_starmetal","None","False","56","6","(Survival)","(51015)","(51312,41030)","True","0","None"
51000,"NSLOCTEXT("""", ""FeatTable_51000_FeatName"", ""Iron Tools"")","NSLOCTEXT("""", ""FeatTable_51000_Description"", ""XX_Desc: Iron Tools"")","/Game/UI/Textures/Icons/icon_iron_pickaxe.icon_iron_pickaxe","None","False","10","3","(Survival)","(50000)","(51002,51012,12513)","True","0","None"
51014,"NSLOCTEXT("""", ""FeatTable_51014_FeatName"", ""Hardened Steel Tools"")","NSLOCTEXT("""", ""FeatTable_51014_Description"", ""XX_Desc: Hardened Steel Tools"")","/Game/UI/Textures/Icons/icon_hardened_steel_pickaxe.icon_hardened_steel_pickaxe","None","False","50","11","(Survival)","(52000)","(51022,51014,51041)","True","0","None"
51015,"NSLOCTEXT("""", ""FeatTable_51015_FeatName"", ""Star Metal Tools"")","NSLOCTEXT("""", ""FeatTable_51015_Description"", ""XX_Desc: Star Metal Tools"")","/Game/UI/Textures/Icons/icon_star_metal_pickaxe.icon_star_metal_pickaxe","None","False","55","12","(Survival)","(51014)","(51023,51015,51469,51042)","True","0","None"
51016,"NSLOCTEXT("""", ""FeatTable_51016_FeatName"", ""Frost Smithing"")","NSLOCTEXT("""", ""FeatTable_51016_Description"", ""XX_Desc: Frost Smithing"")","/Game/UI/Textures/Icons/icon_black_ice_1h_sword.icon_black_ice_1h_sword","None","False","60","0","(Combat)","(11114)","(51975,51976)","False","0","None"
51017,"NSLOCTEXT("""", ""FeatTable_51017_FeatName"", ""Black Ice Pickaxe"")","NSLOCTEXT("""", ""FeatTable_51017_Description"", ""XX_Desc: Black Ice Pickaxe"")","/Game/UI/Textures/Icons/icon_black_ice_cimmerian_steel_pick.icon_black_ice_cimmerian_steel_pick","None","False","60","0","(Survival)","(51015)","(51977)","False","0","None"
51018,"NSLOCTEXT("""", ""FeatTable_51018_FeatName"", ""Black Ice Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_51018_Description"", ""XX_Desc: Black Ice Throwing Axe"")","/Game/UI/Textures/Icons/icon_black_ice_throwing_axe.icon_black_ice_throwing_axe","None","False","60","0","(Combat)","(11118)","(51943)","False","0","None"
51019,"NSLOCTEXT("""", ""FeatTable_51019_FeatName"", ""Black Ice Javelin"")","NSLOCTEXT("""", ""FeatTable_51019_Description"", ""XX_Desc: Black Ice Javelin"")","/Game/UI/Textures/Icons/icon_black_ice_javelin.icon_black_ice_javelin","None","False","60","0","(Combat)","(11118)","(51598)","False","0","None"
51021,"NSLOCTEXT("""", ""FeatTable_51021_FeatName"", ""Pickaxe"")","NSLOCTEXT("""", ""FeatTable_51021_Description"", ""XX_Desc: Pickaxe"")","/Game/UI/Textures/Icons/icon_multi_tool.icon_multi_tool","None","False","43","9","(Survival)","(52000)","(51021)","True","0","None"
51044,"NSLOCTEXT("""", ""FeatTable_51044_FeatName"", ""Iron Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_51044_Description"", ""XX_Desc: Iron Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_iron_2h_sword.icon_iron_2h_sword","None","False","21","5","(Combat)","(3,51000)","(51044)","True","0","None"
51047,"NSLOCTEXT("""", ""FeatTable_51047_FeatName"", ""Steel Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_51047_Description"", ""XX_Desc: Steel Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_iron_2h_sword.icon_iron_2h_sword","None","False","31","7","(Combat)","(3,52000)","(51047)","True","0","None"
51060,"NSLOCTEXT("""", ""FeatTable_51060_FeatName"", ""Hardened Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_51060_Description"", ""XX_Desc: Hardened Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_hardened_steel_2h_sword.icon_hardened_steel_2h_sword","None","False","52","11","(Combat)","(3,10,51014)","(51060)","True","0","None"
51063,"NSLOCTEXT("""", ""FeatTable_51063_FeatName"", ""Star Metal Sword"")","NSLOCTEXT("""", ""FeatTable_51063_Description"", ""XX_Desc: Star Metal Sword"")","/Game/UI/Textures/Icons/icon_star_metal_1h_sword.icon_star_metal_1h_sword","None","False","60","13","(Combat)","(11114)","(51069)","True","0","None"
51064,"NSLOCTEXT("""", ""FeatTable_51064_FeatName"", ""Two-Handed Star Metal Sword"")","NSLOCTEXT("""", ""FeatTable_51064_Description"", ""XX_Desc: Two-Handed Star Metal Sword"")","/Game/UI/Textures/Icons/icon_star_metal_2h_sword.icon_star_metal_2h_sword","None","False","60","13","(Combat)","(11115)","(51063)","True","0","None"
51066,"NSLOCTEXT("""", ""FeatTable_51066_FeatName"", ""Kinscourge Weapons"")","NSLOCTEXT("""", ""FeatTable_51066_Description"", ""XX_Desc: Kinscourge Weapons"")","/Game/UI/Textures/Icons/icon_deathknight_2h_sword.icon_deathknight_2h_sword","None","False","60","0","(Combat)","","(51066,51075)","False","110","None"
51078,"NSLOCTEXT("""", ""FeatTable_51078_FeatName"", ""Hardened Steel Mace"")","NSLOCTEXT("""", ""FeatTable_51078_Description"", ""XX_Desc: Hardened Steel Mace"")","/Game/UI/Textures/Icons/icon_hardened_steel_mace.icon_hardened_steel_mace","None","False","56","12","(Combat)","(4,10,51014)","(51078)","True","0","None"
51081,"NSLOCTEXT("""", ""FeatTable_51081_FeatName"", ""Star Metal Mace"")","NSLOCTEXT("""", ""FeatTable_51081_Description"", ""XX_Desc: Star Metal Mace"")","/Game/UI/Textures/Icons/icon_star_metal_mace.icon_star_metal_mace","None","False","60","13","(Combat)","(11114)","(51081)","True","0","None"
